,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
42,464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,A
43,466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,C
44,466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A
45,463156,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,A
46,465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,B
47,462384,Female,No,29,Yes,Healthcare,,Low,1.0,Cat_7,A
48,462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
49,464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,A
50,462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,B
51,467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,C
52,461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,A
53,462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,C
54,464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,A
55,462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B
56,465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,D
57,462267,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6,D
58,465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,C
59,460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,D
60,461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C
61,466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
62,464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,D
63,464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,A
64,463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,A
65,461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
66,464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,A
67,464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,A
68,465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,B
69,467208,Female,Yes,39,Yes,Homemaker,,High,2.0,Cat_6,A
70,459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
71,460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,A
72,460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B
73,460191,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,D
74,463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
75,463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,B
76,463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,D
77,463952,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,A
78,461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,C
79,466567,Female,No,49,Yes,,1.0,Low,1.0,Cat_6,D
80,465379,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,C
81,463814,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,D
82,466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,A
83,460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,B
84,462204,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,A
85,461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,D
86,459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,C
87,459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,C
88,464734,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,D
89,464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,D
90,467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
91,460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,C
92,465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,C
93,463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,D
94,467066,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,B
95,463845,Male,Yes,58,Yes,Artist,,Average,1.0,Cat_6,D
96,459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,D
97,461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,C
98,465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,C
99,462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,D
100,464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,C
101,466911,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,B
102,462806,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4,A
103,463426,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6,A
104,464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,B
105,462979,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,D
106,462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,D
107,460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,D
108,466466,Female,,19,No,Healthcare,6.0,Low,5.0,Cat_3,D
109,460185,Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6,D
110,459749,Male,Yes,59,Yes,Entertainment,,Low,4.0,Cat_4,A
111,464406,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A
112,467758,Female,Yes,50,Yes,Doctor,1.0,Low,,Cat_6,B
113,462059,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,C
114,467905,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,D
115,461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B
116,460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,D
117,465386,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C
118,465827,Male,No,27,No,,2.0,Low,7.0,Cat_4,D
119,462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,A
120,464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,C
121,461011,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,B
122,464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B
123,461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,D
124,462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,D
125,464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,A
126,466295,Female,Yes,42,No,Engineer,0.0,Low,,Cat_6,A
127,461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,C
128,467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,A
129,460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,C
130,465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,A
131,466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,C
132,464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,D
133,459478,Male,Yes,46,Yes,Artist,,Low,1.0,Cat_6,A
134,460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B
135,459853,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,A
136,459390,Female,No,41,No,Artist,,Low,2.0,Cat_6,B
137,460410,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D
138,463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D
139,462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,B
140,459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,A
141,459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,C
142,459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,C
143,465656,Male,Yes,78,No,Lawyer,1.0,Low,,Cat_6,B
144,465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,B
145,461631,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,C
146,464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,A
147,461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
148,467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,D
149,464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,C
150,464972,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,A
151,467959,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,A
152,467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,C
153,460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B
154,466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,C
155,461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,D
156,465662,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,C
157,459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,C
158,466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,B
159,459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C
160,465710,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,C
161,460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,D
162,462813,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,A
163,463595,Female,No,32,No,Healthcare,1.0,Low,5.0,,C
164,467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,C
165,465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,C
166,462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,C
167,463497,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D
168,465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,B
169,464702,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,C
170,459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B
171,465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,C
172,459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,B
173,464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,B
174,458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,C
175,467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C
176,464866,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,D
177,461081,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,D
178,467896,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,D
179,463991,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,A
180,466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,C
181,462594,Male,Yes,52,No,Entertainment,,Average,5.0,Cat_4,B
182,462206,Female,No,29,Yes,Artist,,Low,1.0,Cat_4,B
183,460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,C
184,467934,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A
185,460054,Male,Yes,38,Yes,Artist,,Low,2.0,Cat_6,C
186,459576,Female,Yes,85,No,Lawyer,,Low,,,A
187,467910,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,A
188,467335,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D
189,460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,B
190,459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,B
191,465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,C
192,459395,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,D
193,467539,Male,Yes,48,Yes,Artist,,Average,4.0,Cat_7,C
194,466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C
195,466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,A
196,463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,A
197,465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,B
198,459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,A
199,467614,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B
200,459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,C
201,466065,Male,,19,No,Healthcare,9.0,Low,3.0,Cat_3,D
202,464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,D
203,460022,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,A
204,459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
205,466613,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,D
206,461149,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,D
207,466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,C
208,461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,B
209,464761,Female,Yes,50,No,Engineer,,Average,4.0,Cat_2,B
210,466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,B
211,459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,B
212,461967,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7,C
213,460516,Female,,85,No,Lawyer,0.0,High,1.0,Cat_3,C
214,461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,C
215,462742,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,D
216,459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,C
217,462691,Male,Yes,25,No,Doctor,,Average,2.0,Cat_4,B
218,462934,Male,Yes,56,No,Executive,,High,2.0,Cat_6,A
219,465837,Male,No,62,Yes,,0.0,Low,1.0,Cat_6,A
220,464613,Female,No,35,,Artist,0.0,Low,3.0,Cat_6,B
221,467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,A
222,463429,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6,A
223,464024,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,D
224,460691,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,D
225,461825,Female,No,56,No,Engineer,,Low,1.0,Cat_6,A
226,467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B
227,465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,B
228,464801,Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4,D
229,459429,Female,Yes,25,Yes,Healthcare,,Low,2.0,Cat_6,D
230,459888,Female,Yes,74,No,Lawyer,,High,2.0,Cat_6,D
231,463467,Female,No,23,No,Healthcare,0.0,Low,4.0,,D
232,462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
233,461282,Male,No,21,No,Healthcare,0.0,Low,4.0,,D
234,460448,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,A
235,464464,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2,C
236,462410,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,B
237,467252,Female,No,33,Yes,,0.0,Low,4.0,,D
238,459756,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,B
239,463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,C
240,466947,Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6,C
241,464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,C
242,465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4,A
243,461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,C
244,466768,Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,C
245,461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,A
246,462438,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,D
247,460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,B
248,464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,A
249,467050,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,B
250,460738,Female,No,49,No,Engineer,1.0,Low,,Cat_7,A
251,466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B
252,459488,Male,Yes,47,No,Artist,,Average,4.0,Cat_6,A
253,467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,C
254,465425,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B
255,462318,Female,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6,A
256,466078,Female,Yes,51,No,Executive,,Low,1.0,Cat_6,A
257,460792,Female,No,42,No,Homemaker,11.0,Low,,Cat_6,A
258,460197,Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,A
259,459375,Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6,A
260,463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,C
261,460144,Female,No,46,Yes,Doctor,1.0,Low,,Cat_3,A
262,462721,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,D
263,459637,Female,No,33,No,Engineer,,Low,4.0,Cat_6,C
264,465809,Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4,B
265,466915,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,D
266,467343,Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,B
267,466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,C
268,464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,A
269,464038,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,A
270,460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6,C
271,462161,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,D
272,464841,Male,,19,No,Entertainment,0.0,High,3.0,Cat_4,D
273,464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B
274,464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,B
275,467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,B
276,465974,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,C
277,462075,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,B
278,459494,Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6,A
279,466921,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,D
280,463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,C
281,461167,Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3,A
282,467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,C
283,462408,Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6,A
284,466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,C
285,465151,Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6,B
286,467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
287,460586,Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3,A
288,461197,Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3,D
289,462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,C
290,465058,Female,No,43,,Entertainment,,Low,1.0,Cat_6,B
291,464088,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,D
292,459471,Female,No,32,No,Artist,,Low,8.0,Cat_6,C
293,464695,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,D
294,462331,Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6,D
295,466523,Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3,B
296,465337,Female,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7,A
297,460834,Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1,A
298,466824,Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,A
299,461607,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3,B
300,465091,Male,Yes,63,Yes,Entertainment,,Average,3.0,Cat_6,C
301,459532,Female,Yes,27,Yes,Healthcare,,Low,2.0,Cat_6,D
302,466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
303,466597,Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,D
304,464075,Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6,B
305,463394,Male,Yes,41,Yes,Marketing,,High,2.0,Cat_6,B
306,462163,Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3,C
307,463895,Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,B
308,464767,Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,B
309,464763,Female,Yes,49,No,Engineer,,Average,4.0,Cat_4,B
310,460718,Male,Yes,55,No,Executive,3.0,Low,,Cat_4,D
311,461989,Female,,57,Yes,Engineer,0.0,Average,4.0,Cat_2,C
312,466374,Male,Yes,83,No,Lawyer,,Low,1.0,Cat_4,B
313,463738,Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6,A
314,465967,Male,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6,A
315,462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,C
316,467234,Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6,D
317,466573,Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,B
318,463229,Female,No,22,No,Marketing,0.0,Low,1.0,Cat_5,B
319,459768,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
320,462541,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,B
321,467714,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6,A
322,467730,Male,No,18,No,Healthcare,,Low,4.0,Cat_6,D
323,459474,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,D
324,460093,Female,No,45,Yes,Artist,4.0,Low,1.0,Cat_3,A
325,467865,Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4,A
326,465758,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D
327,464184,Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6,B
328,462618,Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4,D
329,464226,Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6,C
330,465432,Female,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4,B
331,464087,Female,No,32,No,Engineer,,Low,4.0,Cat_6,C
332,466627,Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6,C
333,467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
334,465842,Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,A
335,464622,Female,No,30,No,Healthcare,8.0,Low,3.0,Cat_6,A
336,462083,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,D
337,460910,Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,A
338,460255,Female,No,38,Yes,Doctor,14.0,Low,1.0,Cat_6,A
339,460109,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C
340,464306,Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6,B
341,466835,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7,B
342,465192,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,A
343,463380,Female,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3,A
344,462391,Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_7,C
345,467086,Female,Yes,83,Yes,Lawyer,0.0,Low,3.0,Cat_6,A
346,460306,Female,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6,D
347,460752,Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,A
348,467264,Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6,C
349,461646,Female,Yes,60,Yes,Artist,,High,4.0,Cat_6,C
